"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","41","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения списка неактивных пользователей [1] 1, [""user1""]",""
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","9","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityWithNonExistentUser","Тест месячной активности для несуществующего пользователя",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [1] /totalActivity",""
"failed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","69","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testExistUserRegistration","Тест повторной регистрации пользователя",""
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","459","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности пользователя [1] 2025-01",""
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithNonExistentUser","Тест записи сессии для несуществующего пользователя",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [2] Список из одного сеанса, Optional[2025-03-25]",""
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения списка неактивных пользователей [2] 100000, []",""
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityBadFormat","Тест получения месячной активности пользователя с неверным форматом аргументом [2] no, 2025-01",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","23","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testPostWithoutParams","Тест post-запросов без параметров [1] /register",""
"failed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testTotalActivityWithNonExistentUser","Тест получения активности для несуществующего пользователя",""
