"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения списка неактивных пользователей [2] 100000, []",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [5] 90, Active",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityBadFormat","Тест получения месячной активности пользователя с неверным форматом аргументом [1] user123, fon",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","21","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [3] /monthlyActivity",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [8] 200, Highly active",""
"failed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","23","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testTotalActivityWithNonExistentUser","Тест получения активности для несуществующего пользователя",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","29","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения списка неактивных пользователей [1] 1, [""user1""]",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","22","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithNonExistentUser","Тест записи сессии для несуществующего пользователя",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityBadFormat","Тест получения месячной активности пользователя с неверным форматом аргументом [2] no, 2025-01",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [2] /inactiveUsers",""
"failed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","66","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testExistUserRegistration","Тест повторной регистрации пользователя",""
"passed","Mon Mar 24 21:13:17 GMT 2025","Mon Mar 24 21:13:17 GMT 2025","38","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
