"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","21","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionBadDateFormat","Тест записи сессии с некорректным форматом даты [1] 2024-10-02T00:00:00, 0",""
"passed","Mon Mar 24 21:13:17 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testPostWithoutParams","Тест post-запросов без параметров [2] /recordSession",""
"passed","Mon Mar 24 21:13:17 GMT 2025","Mon Mar 24 21:13:17 GMT 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testPostWithoutParams","Тест post-запросов без параметров [1] /register",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [4] Список из двух сеансов, неупорядочены, Optional[2025-03-24]",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","27","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersBadNumberFormat","Тест получения неактивных пользователей с неверным форматом числа дней",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","6","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [2] Список из одного сеанса, Optional[2025-03-24]",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [2] 30, Inactive",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [6] 119, Active",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","424","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности пользователя [1] 2025-01",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [3] 59, Inactive",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","21","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionBadDateFormat","Тест записи сессии с некорректным форматом даты [2] 0, 2024-10-02T00:00:00",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityWithNonExistentUser","Тест месячной активности для несуществующего пользователя",""
"passed","Mon Mar 24 21:13:18 GMT 2025","Mon Mar 24 21:13:18 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [1] /totalActivity",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [4] 60, Active",""
"broken","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","7","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [1] Пустой список сеансов, Optional.empty",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","255","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [1] 0, Inactive",""
"passed","Mon Mar 24 21:13:15 GMT 2025","Mon Mar 24 21:13:17 GMT 2025","1730","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [7] 120, Highly active",""
"passed","Mon Mar 24 21:13:17 GMT 2025","Mon Mar 24 21:13:17 GMT 2025","46","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [1] 2025-01-01T10:10:10, 2025-01-01T11:10:10",""
"passed","Mon Mar 24 21:13:20 GMT 2025","Mon Mar 24 21:13:20 GMT 2025","9","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [3] Список из двух сеансов, упорядочены, Optional[2025-03-24]",""
