"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 21:52:09 GMT 2025","Mon Mar 24 21:52:09 GMT 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityBadFormat","Тест получения месячной активности пользователя с неверным форматом аргументом [1] user123, fon",""
"passed","Mon Mar 24 21:52:08 GMT 2025","Mon Mar 24 21:52:08 GMT 2025","31","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testPostWithoutParams","Тест post-запросов без параметров [1] /register",""
"passed","Mon Mar 24 21:52:08 GMT 2025","Mon Mar 24 21:52:08 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [3] /monthlyActivity",""
"passed","Mon Mar 24 21:52:11 GMT 2025","Mon Mar 24 21:52:11 GMT 2025","1","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [3] Список из двух сеансов, упорядочены, Optional[2025-03-24]",""
"passed","Mon Mar 24 21:52:06 GMT 2025","Mon Mar 24 21:52:08 GMT 2025","1759","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Mon Mar 24 21:52:11 GMT 2025","Mon Mar 24 21:52:11 GMT 2025","151","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [1] 0, Inactive",""
"passed","Mon Mar 24 21:52:11 GMT 2025","Mon Mar 24 21:52:11 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [7] 120, Highly active",""
"passed","Mon Mar 24 21:52:08 GMT 2025","Mon Mar 24 21:52:08 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [2] /inactiveUsers",""
"passed","Mon Mar 24 21:52:11 GMT 2025","Mon Mar 24 21:52:11 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [4] Список из двух сеансов, неупорядочены, Optional[2025-03-24]",""
"passed","Mon Mar 24 21:52:09 GMT 2025","Mon Mar 24 21:52:09 GMT 2025","30","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения списка неактивных пользователей [1] 1, [""user1""]",""
